interval_start_datetime,actual_call_volume,predicted_call_volume,absolute_error,squared_error,absolute_percentage_error
2025-10-03T00:00:00,156,161.6084,5.6084,31.4541,0.0360
2025-10-03T00:30:00,121,127.1748,6.1748,38.1285,0.0510
2025-10-03T01:00:00,101,100.2517,0.7483,0.5599,0.0074
2025-10-03T01:30:00,95,83.8741,11.1259,123.7851,0.1171
2025-10-03T02:00:00,75,69.0490,5.9510,35.4150,0.0793
2025-10-03T02:30:00,66,57.5315,8.4685,71.7160,0.1283
2025-10-03T03:00:00,33,52.4406,19.4406,377.9354,0.5891
2025-10-03T03:30:00,53,45.7832,7.2168,52.0820,0.1362
2025-10-03T04:00:00,41,46.1399,5.1399,26.4182,0.1254
2025-10-03T04:30:00,40,48.3706,8.3706,70.0674,0.2093
2025-10-03T05:00:00,34,55.0070,21.0070,441.2938,0.6179
2025-10-03T05:30:00,77,65.0000,12.0000,144.0000,0.1558
2025-10-03T06:00:00,90,87.6434,2.3566,5.5538,0.0262
2025-10-03T06:30:00,136,122.3566,13.6434,186.1412,0.1003
2025-10-03T07:00:00,194,165.8531,28.1469,792.2453,0.1451
2025-10-03T07:30:00,222,186.0490,35.9510,1292.4779,0.1619
2025-10-03T08:00:00,308,254.2448,53.7552,2889.6263,0.1745
2025-10-03T08:30:00,293,274.3287,18.6713,348.6185,0.0637
2025-10-03T09:00:00,297,291.9441,5.0559,25.5626,0.0170
2025-10-03T09:30:00,361,303.6014,57.3986,3294.5994,0.1590
2025-10-03T10:00:00,343,297.1608,45.8392,2101.2287,0.1336
2025-10-03T10:30:00,352,299.6503,52.3497,2740.4859,0.1487
2025-10-03T11:00:00,296,296.6853,0.6853,0.4697,0.0023
2025-10-03T11:30:00,292,295.6923,3.6923,13.6331,0.0126
2025-10-03T12:00:00,316,282.5315,33.4685,1120.1426,0.1059
2025-10-03T12:30:00,306,270.8182,35.1818,1237.7603,0.1150
2025-10-03T13:00:00,383,267.6364,115.3636,13308.7686,0.3012
2025-10-03T13:30:00,321,262.7692,58.2308,3390.8225,0.1814
2025-10-03T14:00:00,307,273.3497,33.6503,1132.3460,0.1096
2025-10-03T14:30:00,280,265.3217,14.6783,215.4531,0.0524
2025-10-03T15:00:00,291,250.7692,40.2308,1618.5148,0.1383
2025-10-03T15:30:00,336,247.8042,88.1958,7778.4999,0.2625
