model,interval_start_datetime,predicted_call_volume
gradient_boosting,2026-01-01T00:00:00,245.5360
gradient_boosting,2026-01-01T00:30:00,218.5748
gradient_boosting,2026-01-01T01:00:00,200.3351
gradient_boosting,2026-01-01T01:30:00,173.5502
gradient_boosting,2026-01-01T02:00:00,131.5134
gradient_boosting,2026-01-01T02:30:00,142.2312
gradient_boosting,2026-01-01T03:00:00,120.0113
gradient_boosting,2026-01-01T03:30:00,88.6175
gradient_boosting,2026-01-01T04:00:00,79.9052
gradient_boosting,2026-01-01T04:30:00,70.4818
gradient_boosting,2026-01-01T05:00:00,73.1878
gradient_boosting,2026-01-01T05:30:00,75.7321
gradient_boosting,2026-01-01T06:00:00,79.1507
gradient_boosting,2026-01-01T06:30:00,80.8192
gradient_boosting,2026-01-01T07:00:00,97.9772
gradient_boosting,2026-01-01T07:30:00,119.7753
gradient_boosting,2026-01-01T08:00:00,166.2183
gradient_boosting,2026-01-01T08:30:00,166.5261
gradient_boosting,2026-01-01T09:00:00,205.6167
gradient_boosting,2026-01-01T09:30:00,174.2929
gradient_boosting,2026-01-01T10:00:00,193.8143
gradient_boosting,2026-01-01T10:30:00,204.3631
gradient_boosting,2026-01-01T11:00:00,202.5590
gradient_boosting,2026-01-01T11:30:00,185.3782
gradient_boosting,2026-01-01T12:00:00,205.8627
gradient_boosting,2026-01-01T12:30:00,199.3964
gradient_boosting,2026-01-01T13:00:00,192.6476
gradient_boosting,2026-01-01T13:30:00,211.5639
gradient_boosting,2026-01-01T14:00:00,197.1954
gradient_boosting,2026-01-01T14:30:00,192.4906
gradient_boosting,2026-01-01T15:00:00,190.6914
gradient_boosting,2026-01-01T15:30:00,216.5707
gradient_boosting,2026-01-01T16:00:00,196.7946
gradient_boosting,2026-01-01T16:30:00,174.9853
gradient_boosting,2026-01-01T17:00:00,178.9357
gradient_boosting,2026-01-01T17:30:00,184.4417
gradient_boosting,2026-01-01T18:00:00,197.3202
gradient_boosting,2026-01-01T18:30:00,177.1359
gradient_boosting,2026-01-01T19:00:00,165.5746
gradient_boosting,2026-01-01T19:30:00,154.9160
gradient_boosting,2026-01-01T20:00:00,208.9322
gradient_boosting,2026-01-01T20:30:00,198.9291
gradient_boosting,2026-01-01T21:00:00,210.2130
gradient_boosting,2026-01-01T21:30:00,218.5681
gradient_boosting,2026-01-01T22:00:00,218.5681
gradient_boosting,2026-01-01T22:30:00,210.2130
gradient_boosting,2026-01-01T23:00:00,198.1660
gradient_boosting,2026-01-01T23:30:00,190.4177
gradient_boosting,2026-01-02T00:00:00,177.1200
gradient_boosting,2026-01-02T00:30:00,178.0498
gradient_boosting,2026-01-02T01:00:00,136.7617
gradient_boosting,2026-01-02T01:30:00,93.5495
gradient_boosting,2026-01-02T02:00:00,88.5434
gradient_boosting,2026-01-02T02:30:00,83.4482
gradient_boosting,2026-01-02T03:00:00,86.2807
gradient_boosting,2026-01-02T03:30:00,76.1952
gradient_boosting,2026-01-02T04:00:00,76.1952
gradient_boosting,2026-01-02T04:30:00,76.1952
gradient_boosting,2026-01-02T05:00:00,85.6452
gradient_boosting,2026-01-02T05:30:00,81.0673
gradient_boosting,2026-01-02T06:00:00,89.9308
gradient_boosting,2026-01-02T06:30:00,141.1613
gradient_boosting,2026-01-02T07:00:00,147.1500
gradient_boosting,2026-01-02T07:30:00,208.3278
gradient_boosting,2026-01-02T08:00:00,233.6297
gradient_boosting,2026-01-02T08:30:00,263.2928
gradient_boosting,2026-01-02T09:00:00,284.3145
gradient_boosting,2026-01-02T09:30:00,292.9189
gradient_boosting,2026-01-02T10:00:00,320.6379
gradient_boosting,2026-01-02T10:30:00,312.6746
gradient_boosting,2026-01-02T11:00:00,305.3343
gradient_boosting,2026-01-02T11:30:00,312.6746
gradient_boosting,2026-01-02T12:00:00,322.7269
gradient_boosting,2026-01-02T12:30:00,304.0839
gradient_boosting,2026-01-02T13:00:00,278.3720
gradient_boosting,2026-01-02T13:30:00,306.1221
gradient_boosting,2026-01-02T14:00:00,311.4242
gradient_boosting,2026-01-02T14:30:00,301.9498
gradient_boosting,2026-01-02T15:00:00,312.2796
gradient_boosting,2026-01-02T15:30:00,283.5977
gradient_boosting,2026-01-02T16:00:00,258.2788
gradient_boosting,2026-01-02T16:30:00,252.0092
gradient_boosting,2026-01-02T17:00:00,236.5961
gradient_boosting,2026-01-02T17:30:00,231.9594
gradient_boosting,2026-01-02T18:00:00,215.8166
gradient_boosting,2026-01-02T18:30:00,223.5927
gradient_boosting,2026-01-02T19:00:00,225.1019
gradient_boosting,2026-01-02T19:30:00,212.5451
gradient_boosting,2026-01-02T20:00:00,220.3028
gradient_boosting,2026-01-02T20:30:00,201.9963
gradient_boosting,2026-01-02T21:00:00,217.0363
gradient_boosting,2026-01-02T21:30:00,220.3028
gradient_boosting,2026-01-02T22:00:00,217.0363
gradient_boosting,2026-01-02T22:30:00,217.0363
gradient_boosting,2026-01-02T23:00:00,226.0762
gradient_boosting,2026-01-02T23:30:00,215.8444
gradient_boosting,2026-01-03T00:00:00,213.8091
gradient_boosting,2026-01-03T00:30:00,161.5859
gradient_boosting,2026-01-03T01:00:00,148.8576
