model,interval_start_datetime,actual_call_volume,predicted_call_volume,avg_handle_time_sec,traffic_intensity_erlangs,base_required_agents,shrinkage_adjusted_agents,expected_occupancy,service_level_probability,target_service_level,sla_target_sec,max_occupancy,shrinkage_rate
gradient_boosting,2026-01-01T00:00:00,,245.5360,558.00,76.1168,90,129,0.8457,0.9507,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T00:30:00,,218.5748,558.54,67.8236,80,115,0.8478,0.9342,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T01:00:00,,200.3351,560.14,62.3418,74,106,0.8425,0.9322,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T01:30:00,,173.5502,559.95,53.9886,64,92,0.8436,0.9102,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T02:00:00,,131.5134,560.59,40.9587,49,70,0.8359,0.8813,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T02:30:00,,142.2312,558.79,44.1542,52,75,0.8491,0.8643,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T03:00:00,,120.0113,557.34,37.1596,44,63,0.8445,0.8432,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T03:30:00,,88.6175,554.64,27.3061,33,48,0.8275,0.8249,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T04:00:00,,79.9052,552.22,24.5139,30,43,0.8171,0.8279,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T04:30:00,,70.4818,550.21,21.5443,27,39,0.7979,0.8448,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T05:00:00,,73.1878,541.65,22.0235,27,39,0.8157,0.8100,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T05:30:00,,75.7321,536.68,22.5801,28,40,0.8064,0.8366,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T06:00:00,,79.1507,528.98,23.2605,29,42,0.8021,0.8521,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T06:30:00,,80.8192,523.64,23.5112,29,42,0.8107,0.8360,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T07:00:00,,97.9772,519.57,28.2809,34,49,0.8318,0.8237,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T07:30:00,,119.7753,520.58,34.6404,41,59,0.8449,0.8311,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T08:00:00,,166.2183,511.52,47.2352,56,80,0.8435,0.8924,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T08:30:00,,166.5261,514.51,47.5993,56,80,0.8500,0.8789,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T09:00:00,,205.6167,518.18,59.1922,70,100,0.8456,0.9222,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T09:30:00,,174.2929,520.05,50.3559,60,86,0.8393,0.9104,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T10:00:00,,193.8143,521.81,56.1859,67,96,0.8386,0.9271,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T10:30:00,,204.3631,522.91,59.3681,70,100,0.8481,0.9176,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T11:00:00,,202.5590,522.80,58.8327,70,100,0.8405,0.9300,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T11:30:00,,185.3782,523.23,53.8865,64,92,0.8420,0.9151,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T12:00:00,,205.8627,522.59,59.7673,71,102,0.8418,0.9299,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T12:30:00,,199.3964,525.07,58.1653,69,99,0.8430,0.9240,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T13:00:00,,192.6476,524.91,56.1795,67,96,0.8385,0.9271,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T13:30:00,,211.5639,525.27,61.7373,73,105,0.8457,0.9273,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T14:00:00,,197.1954,523.02,57.2983,68,98,0.8426,0.9227,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T14:30:00,,192.4906,525.01,56.1441,67,96,0.8380,0.9279,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T15:00:00,,190.6914,526.36,55.7621,66,95,0.8449,0.9145,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T15:30:00,,216.5707,528.03,63.5308,75,108,0.8471,0.9286,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T16:00:00,,196.7946,528.15,57.7432,68,98,0.8492,0.9112,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T16:30:00,,174.9853,529.49,51.4736,61,88,0.8438,0.9042,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T17:00:00,,178.9357,528.40,52.5278,62,89,0.8472,0.9005,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T17:30:00,,184.4417,528.35,54.1391,64,92,0.8459,0.9079,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T18:00:00,,197.3202,528.94,57.9838,69,99,0.8403,0.9279,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T18:30:00,,177.1359,534.07,52.5573,62,89,0.8477,0.8992,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T19:00:00,,165.5746,535.61,49.2686,58,83,0.8495,0.8846,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T19:30:00,,154.9160,537.12,46.2267,55,79,0.8405,0.8934,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T20:00:00,,208.9322,539.89,62.6670,74,106,0.8469,0.9265,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T20:30:00,,198.9291,539.97,59.6751,71,102,0.8405,0.9309,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T21:00:00,,210.2130,541.37,63.2241,75,108,0.8430,0.9341,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T21:30:00,,218.5681,542.55,65.8795,78,112,0.8446,0.9366,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T22:00:00,,218.5681,549.45,66.7181,79,113,0.8445,0.9379,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T22:30:00,,210.2130,552.68,64.5450,76,109,0.8493,0.9254,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T23:00:00,,198.1660,554.53,61.0491,72,103,0.8479,0.9201,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-01T23:30:00,,190.4177,557.29,58.9539,70,100,0.8422,0.9254,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T00:00:00,,177.1200,558.00,54.9077,65,93,0.8447,0.9105,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T00:30:00,,178.0498,558.54,55.2487,65,93,0.8500,0.9008,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T01:00:00,,136.7617,560.14,42.5586,51,73,0.8345,0.8908,0.8000,20,0.8500,0.3000
gradient_boosting,2026-01-02T01:30:00,,93.5495,559.95,29.1017,35,50,0.8315,0.8275,0.8000,20,0.8500,0.3000
