interval_start_datetime,actual_call_volume,predicted_call_volume,avg_handle_time_sec,traffic_intensity_erlangs,base_required_agents,shrinkage_adjusted_agents,expected_occupancy,service_level_probability,target_service_level,sla_target_sec,max_occupancy,shrinkage_rate
2026-01-01T00:00:00,,294.5043,558.00,91.2971,108,155,0.8453,0.9681,0.8000,20,0.8500,0.3000
2026-01-01T00:30:00,,225.8174,558.54,70.0710,83,119,0.8442,0.9437,0.8000,20,0.8500,0.3000
2026-01-01T01:00:00,,197.2114,560.14,61.3698,73,105,0.8407,0.9331,0.8000,20,0.8500,0.3000
2026-01-01T01:30:00,,167.1441,559.95,51.9958,62,89,0.8386,0.9140,0.8000,20,0.8500,0.3000
2026-01-01T02:00:00,,135.3716,560.59,42.1603,50,72,0.8432,0.8700,0.8000,20,0.8500,0.3000
2026-01-01T02:30:00,,137.0532,558.79,42.5467,51,73,0.8342,0.8913,0.8000,20,0.8500,0.3000
2026-01-01T03:00:00,,120.2663,557.34,37.2385,44,63,0.8463,0.8390,0.8000,20,0.8500,0.3000
2026-01-01T03:30:00,,86.6239,554.64,26.6918,32,46,0.8341,0.8032,0.8000,20,0.8500,0.3000
2026-01-01T04:00:00,,84.7446,552.22,25.9986,32,46,0.8125,0.8500,0.8000,20,0.8500,0.3000
2026-01-01T04:30:00,,78.3332,550.21,23.9443,29,42,0.8257,0.8024,0.8000,20,0.8500,0.3000
2026-01-01T05:00:00,,81.7596,541.65,24.6029,30,43,0.8201,0.8223,0.8000,20,0.8500,0.3000
2026-01-01T05:30:00,,78.2997,536.68,23.3456,29,42,0.8050,0.8462,0.8000,20,0.8500,0.3000
2026-01-01T06:00:00,,85.9189,528.98,25.2495,31,45,0.8145,0.8413,0.8000,20,0.8500,0.3000
2026-01-01T06:30:00,,82.5648,523.64,24.0191,30,43,0.8006,0.8614,0.8000,20,0.8500,0.3000
2026-01-01T07:00:00,,115.2417,519.57,33.2643,40,58,0.8316,0.8561,0.8000,20,0.8500,0.3000
2026-01-01T07:30:00,,148.2788,520.58,42.8839,51,73,0.8409,0.8810,0.8000,20,0.8500,0.3000
2026-01-01T08:00:00,,170.8284,511.52,48.5452,58,83,0.8370,0.9098,0.8000,20,0.8500,0.3000
2026-01-01T08:30:00,,199.0996,514.51,56.9099,67,96,0.8494,0.9094,0.8000,20,0.8500,0.3000
2026-01-01T09:00:00,,251.3410,518.18,72.3551,86,123,0.8413,0.9532,0.8000,20,0.8500,0.3000
2026-01-01T09:30:00,,197.0010,520.05,56.9166,67,96,0.8495,0.9089,0.8000,20,0.8500,0.3000
2026-01-01T10:00:00,,264.8896,521.81,76.7903,91,130,0.8438,0.9558,0.8000,20,0.8500,0.3000
2026-01-01T10:30:00,,269.3053,522.91,78.2340,93,133,0.8412,0.9607,0.8000,20,0.8500,0.3000
2026-01-01T11:00:00,,268.4778,522.80,77.9786,92,132,0.8476,0.9524,0.8000,20,0.8500,0.3000
2026-01-01T11:30:00,,218.5774,523.23,63.5370,75,108,0.8472,0.9287,0.8000,20,0.8500,0.3000
2026-01-01T12:00:00,,255.5537,522.59,74.1939,88,126,0.8431,0.9532,0.8000,20,0.8500,0.3000
2026-01-01T12:30:00,,250.1475,525.07,72.9698,86,123,0.8485,0.9437,0.8000,20,0.8500,0.3000
2026-01-01T13:00:00,,222.1121,524.91,64.7719,77,110,0.8412,0.9408,0.8000,20,0.8500,0.3000
2026-01-01T13:30:00,,240.4364,525.27,70.1627,83,119,0.8453,0.9439,0.8000,20,0.8500,0.3000
2026-01-01T14:00:00,,230.1747,523.02,66.8810,79,113,0.8466,0.9363,0.8000,20,0.8500,0.3000
2026-01-01T14:30:00,,222.1121,525.01,64.7838,77,110,0.8413,0.9405,0.8000,20,0.8500,0.3000
2026-01-01T15:00:00,,225.8222,526.36,66.0351,78,112,0.8466,0.9345,0.8000,20,0.8500,0.3000
2026-01-01T15:30:00,,239.8251,528.03,70.3525,83,119,0.8476,0.9405,0.8000,20,0.8500,0.3000
2026-01-01T16:00:00,,208.8076,528.15,61.2681,73,105,0.8393,0.9368,0.8000,20,0.8500,0.3000
2026-01-01T16:30:00,,197.9030,529.49,58.2151,69,99,0.8437,0.9226,0.8000,20,0.8500,0.3000
2026-01-01T17:00:00,,201.5159,528.40,59.1563,70,100,0.8451,0.9224,0.8000,20,0.8500,0.3000
2026-01-01T17:30:00,,196.9165,528.35,57.8009,69,99,0.8377,0.9319,0.8000,20,0.8500,0.3000
2026-01-01T18:00:00,,218.4826,528.94,64.2025,76,109,0.8448,0.9338,0.8000,20,0.8500,0.3000
2026-01-01T18:30:00,,206.1365,534.07,61.1620,72,103,0.8495,0.9186,0.8000,20,0.8500,0.3000
2026-01-01T19:00:00,,197.1851,535.61,58.6747,70,100,0.8382,0.9327,0.8000,20,0.8500,0.3000
2026-01-01T19:30:00,,182.0405,537.12,54.3206,64,92,0.8488,0.9020,0.8000,20,0.8500,0.3000
2026-01-01T20:00:00,,224.4633,539.89,67.3254,80,115,0.8416,0.9440,0.8000,20,0.8500,0.3000
2026-01-01T20:30:00,,224.6911,539.97,67.4033,80,115,0.8425,0.9427,0.8000,20,0.8500,0.3000
2026-01-01T21:00:00,,231.3884,541.37,69.5928,82,118,0.8487,0.9368,0.8000,20,0.8500,0.3000
2026-01-01T21:30:00,,235.5109,542.55,70.9863,84,121,0.8451,0.9447,0.8000,20,0.8500,0.3000
2026-01-01T22:00:00,,235.5109,549.45,71.8899,85,122,0.8458,0.9448,0.8000,20,0.8500,0.3000
2026-01-01T22:30:00,,230.7725,552.68,70.8577,84,121,0.8435,0.9463,0.8000,20,0.8500,0.3000
2026-01-01T23:00:00,,220.1910,554.53,67.8343,80,115,0.8479,0.9342,0.8000,20,0.8500,0.3000
2026-01-01T23:30:00,,202.5534,557.29,62.7112,74,106,0.8474,0.9245,0.8000,20,0.8500,0.3000
2026-01-02T00:00:00,,183.4256,558.00,56.8624,67,96,0.8487,0.9079,0.8000,20,0.8500,0.3000
2026-01-02T00:30:00,,174.1036,558.54,54.0242,64,92,0.8441,0.9093,0.8000,20,0.8500,0.3000
2026-01-02T01:00:00,,147.1940,560.14,45.8050,54,78,0.8482,0.8730,0.8000,20,0.8500,0.3000
2026-01-02T01:30:00,,109.2582,559.95,33.9884,40,58,0.8497,0.8111,0.8000,20,0.8500,0.3000
2026-01-02T02:00:00,,100.8658,560.59,31.4138,38,55,0.8267,0.8538,0.8000,20,0.8500,0.3000
